tpep_pickup_date,hour_pickup,count,day_of_week,month_bin,pickup_bin
2022-01-22,6,691,5,1,0
2022-01-22,7,1106,5,1,1
2022-01-22,8,1723,5,1,1
2022-01-22,9,2796,5,1,1
2022-01-22,10,3783,5,1,1
2022-01-22,11,4565,5,1,1
2022-01-22,12,5412,5,1,1
2022-01-22,13,5558,5,1,2
2022-01-22,14,5839,5,1,2
2022-01-22,15,6248,5,1,2
2022-01-22,16,6336,5,1,2
2022-01-22,17,6188,5,1,2
2022-01-22,18,6339,5,1,2
2022-01-22,19,6111,5,1,3
2022-01-22,20,4975,5,1,3
2022-01-22,21,4994,5,1,3
2022-01-22,22,5172,5,1,3
2022-01-22,23,4257,5,1,3
2022-01-23,0,4482,6,1,0
2022-01-23,1,4050,6,1,0
2022-01-23,2,3005,6,1,0
2022-01-23,3,2007,6,1,0
2022-01-23,4,1013,6,1,0
2022-01-23,5,438,6,1,0
2022-01-23,6,666,6,1,0
2022-01-23,7,1023,6,1,1
2022-01-23,8,1387,6,1,1
2022-01-23,9,2181,6,1,1
2022-01-23,10,3356,6,1,1
2022-01-23,11,4064,6,1,1
2022-01-23,12,4778,6,1,1
2022-01-23,13,4955,6,1,2
2022-01-23,14,5366,6,1,2
2022-01-23,15,5337,6,1,2
2022-01-23,16,5252,6,1,2
2022-01-23,17,4798,6,1,2
2022-01-23,18,4610,6,1,2
2022-01-23,19,3848,6,1,3
2022-01-23,20,3272,6,1,3
2022-01-23,21,2721,6,1,3
2022-01-23,22,2466,6,1,3
2022-01-23,23,1317,6,1,3
2022-01-24,0,1008,0,1,0
2022-01-24,1,520,0,1,0
2022-01-24,2,288,0,1,0
2022-01-24,3,181,0,1,0
2022-01-24,4,213,0,1,0
2022-01-24,5,518,0,1,0
2022-01-24,6,1541,0,1,0
2022-01-24,7,3258,0,1,1
2022-01-24,8,4535,0,1,1
2022-01-24,9,4503,0,1,1
2022-01-24,10,4349,0,1,1
2022-01-24,11,4185,0,1,1
2022-01-24,12,4583,0,1,1
2022-01-24,13,4681,0,1,2
2022-01-24,14,5393,0,1,2
