tpep_pickup_date,hour_pickup,count
2022-02-09,16,6493
2022-02-09,17,7392
2022-02-09,18,8358
2022-02-09,19,7093
2022-02-09,20,5701
2022-02-09,21,5705
2022-02-09,22,5166
2022-02-09,23,3183
2022-02-10,0,1818
2022-02-10,1,934
2022-02-10,2,520
2022-02-10,3,288
2022-02-10,4,302
2022-02-10,5,580
2022-02-10,6,1956
2022-02-10,7,4105
2022-02-10,8,5243
2022-02-10,9,5190
2022-02-10,10,5142
2022-02-10,11,5477
2022-02-10,12,5909
2022-02-10,13,6282
2022-02-10,14,6734
2022-02-10,15,6994
2022-02-10,16,6754
2022-02-10,17,7826
2022-02-10,18,8815
2022-02-10,19,7399
2022-02-10,20,6396
2022-02-10,21,6187
2022-02-10,22,5779
2022-02-10,23,3891
2022-02-11,0,3171
2022-02-11,1,1818
2022-02-11,2,1082
2022-02-11,3,640
2022-02-11,4,489
2022-02-11,5,728
2022-02-11,6,1737
2022-02-11,7,3603
2022-02-11,8,4519
2022-02-11,9,4724
2022-02-11,10,4971
2022-02-11,11,5333
2022-02-11,12,5795
2022-02-11,13,5919
2022-02-11,14,6564
2022-02-11,15,6792
2022-02-11,16,7043
2022-02-11,17,8068
2022-02-11,18,8938
2022-02-11,19,8555
2022-02-11,20,6603
2022-02-11,21,6091
2022-02-11,22,6464
2022-02-11,23,4681
2022-02-12,0,4991
2022-02-12,1,4172
2022-02-12,2,3398
2022-02-12,3,2274
2022-02-12,4,1216
2022-02-12,5,567
2022-02-12,6,823
2022-02-12,7,1326
2022-02-12,8,2146
2022-02-12,9,3396
2022-02-12,10,4454
2022-02-12,11,5320
2022-02-12,12,6420
2022-02-12,13,7030
2022-02-12,14,6785
2022-02-12,15,7369
2022-02-12,16,7341
2022-02-12,17,7729
2022-02-12,18,8011
2022-02-12,19,8233
2022-02-12,20,6843
2022-02-12,21,6296
2022-02-12,22,6641
2022-02-12,23,4909
2022-02-13,0,5210
2022-02-13,1,4441
2022-02-13,2,3451
2022-02-13,3,2322
2022-02-13,4,1096
2022-02-13,5,443
2022-02-13,6,749
2022-02-13,7,1125
2022-02-13,8,1688
2022-02-13,9,2470
2022-02-13,10,3900
2022-02-13,11,4683
2022-02-13,12,5370
2022-02-13,13,5624
2022-02-13,14,5574
2022-02-13,15,5666
2022-02-13,16,6064
2022-02-13,17,7060
2022-02-13,18,6505
2022-02-13,19,3943
2022-02-13,20,3762
2022-02-13,21,3545
2022-02-13,22,5128
2022-02-13,23,2524
2022-02-14,0,1673
2022-02-14,1,905
2022-02-14,2,459
2022-02-14,3,271
2022-02-14,4,307
2022-02-14,5,631
2022-02-14,6,2086
2022-02-14,7,4321
2022-02-14,8,5674
2022-02-14,9,5423
2022-02-14,10,5318
2022-02-14,11,5365
2022-02-14,12,5741
2022-02-14,13,5621
2022-02-14,14,6483
2022-02-14,15,7348
2022-02-14,16,7247
2022-02-14,17,8245
2022-02-14,18,9113
2022-02-14,19,8276
2022-02-14,20,6205
2022-02-14,21,5169
2022-02-14,22,4563
2022-02-14,23,2615
2022-02-15,0,1583
2022-02-15,1,729
2022-02-15,2,369
2022-02-15,3,194
2022-02-15,4,250
2022-02-15,5,698
2022-02-15,6,2197
2022-02-15,7,4626
2022-02-15,8,5971
2022-02-15,9,5795
2022-02-15,10,5550
2022-02-15,11,5563
2022-02-15,12,5894
2022-02-15,13,5944
2022-02-15,14,6722
2022-02-15,15,7005
2022-02-15,16,6858
2022-02-15,17,7756
2022-02-15,18,8567
2022-02-15,19,7320
2022-02-15,20,5948
2022-02-15,21,5718
2022-02-15,22,4945
2022-02-15,23,2633
2022-02-16,0,1521
2022-02-16,1,664
2022-02-16,2,425
2022-02-16,3,216
2022-02-16,4,251
2022-02-16,5,642
2022-02-16,6,2037
2022-02-16,7,4459
2022-02-16,8,5580
2022-02-16,9,5379
2022-02-16,10,5351
2022-02-16,11,5516
2022-02-16,12,5895
2022-02-16,13,6226
2022-02-16,14,6691
2022-02-16,15,7113
2022-02-16,16,6961
2022-02-16,17,8147
2022-02-16,18,8494
2022-02-16,19,7259
2022-02-16,20,5827
2022-02-16,21,5766
2022-02-16,22,5328
2022-02-16,23,2903
2022-02-17,0,1865
2022-02-17,1,965
2022-02-17,2,531
2022-02-17,3,333
2022-02-17,4,323
2022-02-17,5,616
2022-02-17,6,1991
2022-02-17,7,4184
2022-02-17,8,5287
2022-02-17,9,5277
2022-02-17,10,5275
2022-02-17,11,5478
2022-02-17,12,5862
2022-02-17,13,5981
2022-02-17,14,6813
2022-02-17,15,6950
2022-02-17,16,6877
2022-02-17,17,7824
2022-02-17,18,8584
2022-02-17,19,7132
2022-02-17,20,6052
2022-02-17,21,6737
2022-02-17,22,6226
2022-02-17,23,3581
2022-02-18,0,2699
2022-02-18,1,1452
2022-02-18,2,879
2022-02-18,3,497
2022-02-18,4,468
2022-02-18,5,734
2022-02-18,6,1958
2022-02-18,7,3463
2022-02-18,8,4524
2022-02-18,9,4647
2022-02-18,10,5048
2022-02-18,11,5625
2022-02-18,12,5969
2022-02-18,13,6041
2022-02-18,14,6723
2022-02-18,15,6970
2022-02-18,16,6578
2022-02-18,17,7409
2022-02-18,18,8501
2022-02-18,19,8592
2022-02-18,20,6605
2022-02-18,21,6180
2022-02-18,22,6261
2022-02-18,23,4553
2022-02-19,0,5067
2022-02-19,1,3876
2022-02-19,2,2986
2022-02-19,3,2152
2022-02-19,4,1133
2022-02-19,5,528
2022-02-19,6,904
2022-02-19,7,1363
2022-02-19,8,1994
2022-02-19,9,3257
2022-02-19,10,4331
